1621912989192-- 相似度：0.965414(D).jpg
1621912989322-- 相似度：0.963488(T).jpg
1621912989441-- 相似度：0.982687(T).jpg
1621912989559-- 相似度：0.985855(T).jpg
1621912989677-- 相似度：0.992136(T).jpg
1621912989796-- 相似度：0.997234(T).jpg
1621912989915-- 相似度：0.990707(T).jpg
1621912990049-- 相似度：0.996318(T).jpg
1621912990166-- 相似度：0.991997(T).jpg
1621912990291-- 相似度：0.992616(T).jpg
1621912990408-- 相似度：0.991475(T).jpg
1621912994422-- 相似度：0.997833(D).jpg
1621912994549-- 相似度：0.999551(T).jpg
1621912994667-- 相似度：0.999655(T).jpg
1621912994784-- 相似度：0.99956(T).jpg
1621912994947-- 相似度：0.998731(D).jpg
1621912995067-- 相似度：0.996321(T).jpg
1621912995676-- 相似度：0.979062(D).jpg
1621912995799-- 相似度：0.986542(T).jpg
1621912995916-- 相似度：0.995598(T).jpg
1621912996034-- 相似度：0.990803(T).jpg
1621912996153-- 相似度：0.99443(T).jpg
1621912996272-- 相似度：0.990696(T).jpg
1621912996391-- 相似度：0.982434(T).jpg
1621912996508-- 相似度：0.985273(T).jpg
1621912996636-- 相似度：0.984121(T).jpg
1621912996754-- 相似度：0.98094(T).jpg
1621912996872-- 相似度：0.985132(T).jpg
1621912998195-- 相似度：0.994678(D).jpg
1621912998329-- 相似度：0.997922(T).jpg
1621912998740-- 相似度：0.987209(D).jpg
1621912998865-- 相似度：0.995728(T).jpg
1621912998983-- 相似度：0.99811(T).jpg
1621912999101-- 相似度：0.993073(T).jpg
1621912999219-- 相似度：0.997991(T).jpg
1621912999343-- 相似度：0.99842(T).jpg
1621912999461-- 相似度：0.98299(T).jpg
1621912999585-- 相似度：0.998794(T).jpg
1621912999702-- 相似度：0.994943(T).jpg
1621912999820-- 相似度：0.995876(T).jpg
1621912999938-- 相似度：0.995995(T).jpg
1621913131428-- 相似度：0.999963(D).jpg
1621913131553-- 相似度：0.999935(T).jpg
1621913131671-- 相似度：0.999923(T).jpg
1621913131793-- 相似度：0.999846(T).jpg
1621913131910-- 相似度：0.999905(T).jpg
1621913132031-- 相似度：0.999696(T).jpg
1621913148098-- 相似度：0.999066(D).jpg
1621913148223-- 相似度：0.898765(T).jpg
1621913179222-- 相似度：0.99676(D).jpg
1621913179359-- 相似度：0.999133(T).jpg
1621913179481-- 相似度：0.998134(T).jpg
1621913179604-- 相似度：0.999516(T).jpg
1621913179728-- 相似度：0.999066(T).jpg
1621913179849-- 相似度：0.998719(T).jpg
1621913179969-- 相似度：0.9977(T).jpg
1621913180092-- 相似度：0.998195(T).jpg
1621913180215-- 相似度：0.99564(T).jpg
1621913180344-- 相似度：0.994718(T).jpg
1621913180466-- 相似度：0.997425(T).jpg
1621913190772-- 相似度：0.972987(D).jpg
1621913190906-- 相似度：0.989663(T).jpg
1621913191029-- 相似度：0.986347(T).jpg
1621913191150-- 相似度：0.988476(T).jpg
1621913191268-- 相似度：0.97246(T).jpg
1621913191387-- 相似度：0.987632(T).jpg
1621913191505-- 相似度：0.960491(T).jpg
1621913191627-- 相似度：0.978896(T).jpg
1621913191747-- 相似度：0.951695(T).jpg
1621913191881-- 相似度：0.95012(T).jpg
1621913192002-- 相似度：0.79935(T).jpg
1621913193971-- 相似度：0.603911(D).jpg
1621913194098-- 相似度：0.520651(T).jpg
1621913196345-- 相似度：0.0(D).jpg
1621913196479-- 相似度：0.860408(T).jpg
1621913196600-- 相似度：0.674283(T).jpg
1621913196720-- 相似度：0.691403(T).jpg
1621913196842-- 相似度：0.749049(T).jpg
1621913196966-- 相似度：0.708794(T).jpg
1621913197088-- 相似度：0.536085(T).jpg
1621913197209-- 相似度：0.62465(T).jpg
1621913197341-- 相似度：0.771812(T).jpg
1621913197463-- 相似度：0.871854(T).jpg
1621913197586-- 相似度：0.84707(T).jpg
1621913200662-- 相似度：0.925767(D).jpg
1621913200794-- 相似度：0.499951(T).jpg
1621913200914-- 相似度：0.513558(T).jpg
1621913201036-- 相似度：0.73508(T).jpg
1621913201157-- 相似度：0.648784(T).jpg
1621913201277-- 相似度：0.537528(T).jpg
1621913201398-- 相似度：0.816517(T).jpg
1621913201519-- 相似度：0.684435(T).jpg
1621913201639-- 相似度：0.541116(T).jpg
1621913201770-- 相似度：0.630318(T).jpg
1621913201892-- 相似度：0.592393(T).jpg
1621913205670-- 相似度：0.78504(D).jpg
1621913205801-- 相似度：0.889229(T).jpg
1621913205922-- 相似度：0.530786(T).jpg
1621913206042-- 相似度：0.428303(T).jpg
1621913206164-- 相似度：0.562094(T).jpg
1621913206284-- 相似度：0.685027(T).jpg
1621913206405-- 相似度：0.248819(T).jpg
1621913206526-- 相似度：0.478703(T).jpg
1621913206648-- 相似度：0.535422(T).jpg
1621913206777-- 相似度：0.615308(T).jpg
1621913206898-- 相似度：0.630908(T).jpg
1621913210192-- 相似度：0.90706(D).jpg
1621913210319-- 相似度：0.99664(T).jpg
1621913210441-- 相似度：0.99148(T).jpg
