1622442948735-- 相似度：0.003709(D).jpg
1622442948874-- 相似度：0.008997(T).jpg
1622442949006-- 相似度：0.013156(T).jpg
1622442949139-- 相似度：0.044945(T).jpg
1622442949281-- 相似度：0.01593(T).jpg
1622442949416-- 相似度：0.038072(T).jpg
1622442949549-- 相似度：0.053023(T).jpg
1622442949690-- 相似度：0.031127(T).jpg
1622442949826-- 相似度：0.059246(T).jpg
1622442949966-- 相似度：0.030452(T).jpg
1622442950103-- 相似度：0.028208(T).jpg
1622442953755-- 相似度：0.109465(D).jpg
1622442953891-- 相似度：0.077697(T).jpg
1622442954021-- 相似度：0.274857(T).jpg
1622442954160-- 相似度：0.610206(T).jpg
1622442954292-- 相似度：0.296174(T).jpg
1622442954426-- 相似度：0.108939(T).jpg
1622442954556-- 相似度：0.248577(T).jpg
1622442954695-- 相似度：0.094581(T).jpg
1622442954832-- 相似度：0.029618(T).jpg
1622442954969-- 相似度：0.023062(T).jpg
1622442955105-- 相似度：0.022373(T).jpg
1622442955250-- 相似度：0.01695(D).jpg
1622442955384-- 相似度：0.02854(T).jpg
1622442955519-- 相似度：0.019588(T).jpg
1622442955657-- 相似度：0.028504(T).jpg
1622442955797-- 相似度：0.022458(T).jpg
1622442955936-- 相似度：0.015402(T).jpg
1622442956070-- 相似度：0.023781(T).jpg
1622442956215-- 相似度：0.00914(T).jpg
1622442956350-- 相似度：0.017201(T).jpg
1622442956518-- 相似度：0.038847(D).jpg
1622442956654-- 相似度：0.122438(T).jpg
1622442956789-- 相似度：0.08381(T).jpg
1622442956926-- 相似度：0.073787(T).jpg
1622442957061-- 相似度：0.065493(T).jpg
1622442957201-- 相似度：0.062048(T).jpg
1622442957336-- 相似度：0.035459(T).jpg
1622442957477-- 相似度：0.014962(T).jpg
1622442957616-- 相似度：0.033026(T).jpg
1622442957751-- 相似度：0.123981(T).jpg
1622442957893-- 相似度：0.017908(T).jpg
1622442958039-- 相似度：0.1716(D).jpg
1622442959657-- 相似度：0.007903(T).jpg
1622442959791-- 相似度：0.032759(D).jpg
1622442959923-- 相似度：0.001842(T).jpg
1622442960058-- 相似度：3.74E-4(T).jpg
1622442960202-- 相似度：0.018677(T).jpg
1622442960338-- 相似度：0.008295(T).jpg
1622442960472-- 相似度：0.003558(T).jpg
1622442960605-- 相似度：0.004822(T).jpg
1622442960747-- 相似度：0.016663(T).jpg
1622442960880-- 相似度：0.04046(T).jpg
1622442961019-- 相似度：0.177702(T).jpg
1622442961152-- 相似度：0.130586(T).jpg
1622442965792-- 相似度：0.153245(D).jpg
1622442965927-- 相似度：0.184718(T).jpg
1622442966064-- 相似度：0.093175(T).jpg
1622442966203-- 相似度：0.047608(T).jpg
1622442966342-- 相似度：0.13442(T).jpg
1622442966485-- 相似度：0.070183(T).jpg
1622442966625-- 相似度：0.117836(T).jpg
1622442966767-- 相似度：0.091109(T).jpg
1622442966920-- 相似度：0.054819(T).jpg
1622442967061-- 相似度：0.071351(T).jpg
1622442967204-- 相似度：0.065282(T).jpg
1622442967351-- 相似度：0.247426(D).jpg
1622442967495-- 相似度：0.357389(T).jpg
1622442967639-- 相似度：0.070512(T).jpg
1622442967778-- 相似度：0.255363(T).jpg
1622442967918-- 相似度：0.151492(T).jpg
1622442968058-- 相似度：0.112479(T).jpg
1622442968200-- 相似度：0.121103(T).jpg
1622442968340-- 相似度：0.093504(T).jpg
1622442968479-- 相似度：0.268715(T).jpg
1622442968619-- 相似度：0.123531(T).jpg
1622442968761-- 相似度：0.087227(T).jpg
1622442977390-- 相似度：0.009968(D).jpg
1622442977527-- 相似度：0.027649(T).jpg
1622442977671-- 相似度：0.056687(T).jpg
1622442977811-- 相似度：0.183678(T).jpg
1622442977948-- 相似度：0.031455(T).jpg
1622442978089-- 相似度：0.127134(T).jpg
1622442978232-- 相似度：0.044341(T).jpg
1622442978374-- 相似度：0.237065(T).jpg
1622442978525-- 相似度：0.368338(T).jpg
1622442978664-- 相似度：0.887385(T).jpg
1622442978806-- 相似度：0.705514(T).jpg
1622442982903-- 相似度：0.172883(D).jpg
1622442983056-- 相似度：0.428107(T).jpg
1622442983202-- 相似度：0.362636(T).jpg
1622442983344-- 相似度：0.207139(T).jpg
1622442983490-- 相似度：0.20916(T).jpg
1622442983634-- 相似度：0.273408(T).jpg
1622442983777-- 相似度：0.166394(T).jpg
1622442983923-- 相似度：0.212244(T).jpg
1622442984069-- 相似度：0.222691(T).jpg
1622442984216-- 相似度：0.240235(T).jpg
1622442984360-- 相似度：0.257866(T).jpg
1622442988555-- 相似度：0.03315(D).jpg
1622442988702-- 相似度：0.070396(T).jpg
1622442988852-- 相似度：0.019798(T).jpg
1622442988993-- 相似度：0.043054(T).jpg
1622442989134-- 相似度：0.018721(T).jpg
1622442989276-- 相似度：0.049911(T).jpg
1622442989419-- 相似度：0.005166(T).jpg
1622442989562-- 相似度：0.004888(T).jpg
1622442989703-- 相似度：0.05499(T).jpg
1622442989848-- 相似度：0.057298(T).jpg
1622442989990-- 相似度：0.051837(T).jpg
1622443000284-- 相似度：0.184435(D).jpg
1622443000415-- 相似度：0.046928(T).jpg
1622443000551-- 相似度：0.021266(T).jpg
1622443000687-- 相似度：0.001288(T).jpg
1622443000818-- 相似度：0.032403(T).jpg
1622443000953-- 相似度：0.008868(T).jpg
1622443001091-- 相似度：0.008975(T).jpg
1622443001230-- 相似度：0.008693(T).jpg
1622443001369-- 相似度：5.25E-4(T).jpg
1622443001503-- 相似度：5.0E-4(T).jpg
1622443001644-- 相似度：2.95E-4(T).jpg
1622443006220-- 相似度：0.489984(D).jpg
1622443006359-- 相似度：0.320562(T).jpg
1622443006505-- 相似度：0.139773(T).jpg
1622443006650-- 相似度：0.122486(T).jpg
1622443006784-- 相似度：0.057894(T).jpg
1622443006924-- 相似度：0.036146(T).jpg
1622443007067-- 相似度：0.065205(T).jpg
1622443007209-- 相似度：0.149011(T).jpg
1622443007347-- 相似度：0.310328(T).jpg
1622443007489-- 相似度：0.164847(T).jpg
1622443007632-- 相似度：0.14672(T).jpg
1622443012373-- 相似度：0.071666(D).jpg
1622443012520-- 相似度：0.007342(T).jpg
1622443012664-- 相似度：0.003042(T).jpg
1622443012804-- 相似度：0.010511(T).jpg
1622443012952-- 相似度：0.00585(T).jpg
1622443013093-- 相似度：0.004468(T).jpg
1622443013234-- 相似度：0.005553(T).jpg
1622443013381-- 相似度：0.005571(T).jpg
1622443013522-- 相似度：0.009946(T).jpg
1622443013668-- 相似度：0.007825(T).jpg
1622443013815-- 相似度：0.007346(T).jpg
1622443024177-- 相似度：0.111352(D).jpg
1622443024316-- 相似度：0.085181(T).jpg
1622443024450-- 相似度：0.002579(T).jpg
1622443024582-- 相似度：0.002762(T).jpg
1622443024714-- 相似度：5.21E-4(T).jpg
1622443024855-- 相似度：0.001567(T).jpg
1622443024992-- 相似度：0.001026(T).jpg
1622443025127-- 相似度：0.00167(T).jpg
1622443025266-- 相似度：0.005153(T).jpg
1622443025419-- 相似度：0.004222(T).jpg
1622443025557-- 相似度：0.004027(T).jpg
1622443030086-- 相似度：0.182485(D).jpg
1622443030224-- 相似度：0.221845(T).jpg
1622443030366-- 相似度：0.012579(T).jpg
1622443030501-- 相似度：0.00225(T).jpg
1622443030638-- 相似度：0.001999(T).jpg
1622443030780-- 相似度：0.001874(T).jpg
1622443030917-- 相似度：0.001632(T).jpg
1622443031060-- 相似度：0.002079(T).jpg
1622443031202-- 相似度：0.001161(T).jpg
1622443031345-- 相似度：0.001201(T).jpg
1622443031487-- 相似度：0.002639(T).jpg
1622443035968-- 相似度：0.021937(D).jpg
1622443036101-- 相似度：0.003537(T).jpg
1622443036240-- 相似度：1.32E-4(T).jpg
1622443036376-- 相似度：6.21E-4(T).jpg
1622443036515-- 相似度：0.002598(T).jpg
1622443036651-- 相似度：0.003739(T).jpg
1622443036785-- 相似度：0.003449(T).jpg
1622443036919-- 相似度：0.001887(T).jpg
1622443037053-- 相似度：0.005012(T).jpg
1622443037188-- 相似度：0.001219(T).jpg
1622443037326-- 相似度：0.001601(T).jpg
1622443042127-- 相似度：0.020296(D).jpg
1622443042263-- 相似度：0.007377(T).jpg
1622443042415-- 相似度：0.009048(T).jpg
1622443042552-- 相似度：0.004901(T).jpg
1622443042688-- 相似度：0.020911(T).jpg
1622443042835-- 相似度：0.011124(T).jpg
1622443042969-- 相似度：0.021351(T).jpg
1622443043111-- 相似度：0.017835(T).jpg
1622443043257-- 相似度：0.028356(T).jpg
1622443043394-- 相似度：0.029738(T).jpg
1622443043538-- 相似度：0.018154(T).jpg
1622443048124-- 相似度：0.510635(D).jpg
1622443048265-- 相似度：0.321025(T).jpg
1622443048406-- 相似度：0.35992(T).jpg
1622443048548-- 相似度：0.411363(T).jpg
1622443048688-- 相似度：0.520028(T).jpg
1622443048821-- 相似度：0.275094(T).jpg
1622443048956-- 相似度：0.216992(T).jpg
1622443049090-- 相似度：0.183346(T).jpg
1622443049240-- 相似度：0.162843(T).jpg
1622443049382-- 相似度：0.148008(T).jpg
1622443049528-- 相似度：0.146913(T).jpg
1622443053895-- 相似度：0.109713(T).jpg
1622443054034-- 相似度：0.166818(T).jpg
1622443054174-- 相似度：0.10867(T).jpg
1622443054314-- 相似度：0.060221(T).jpg
1622443054456-- 相似度：0.101496(T).jpg
1622443054597-- 相似度：0.104974(T).jpg
1622443054743-- 相似度：0.127893(T).jpg
1622443054883-- 相似度：0.124045(T).jpg
1622443055024-- 相似度：0.086399(T).jpg
1622443055171-- 相似度：0.064546(T).jpg
1622443056395-- 相似度：0.024901(D).jpg
1622443056539-- 相似度：0.045199(T).jpg
1622443056681-- 相似度：0.035681(T).jpg
1622443056817-- 相似度：0.036918(T).jpg
