1622168665578-- 相似度：0.805607(D).jpg
1622168665656-- 相似度：0.99222(T).jpg
1622168665732-- 相似度：0.994339(T).jpg
1622168665805-- 相似度：0.905534(T).jpg
1622168665871-- 相似度：0.999244(T).jpg
1622168665935-- 相似度：0.997587(T).jpg
1622168665998-- 相似度：0.984095(T).jpg
1622168666063-- 相似度：0.998813(T).jpg
1622168666129-- 相似度：0.984992(T).jpg
1622168666191-- 相似度：0.998587(T).jpg
1622168666256-- 相似度：0.991868(T).jpg
1622168669964-- 相似度：0.897575(D).jpg
1622168670048-- 相似度：0.959523(T).jpg
1622168670112-- 相似度：0.890783(T).jpg
1622168670173-- 相似度：0.890821(T).jpg
1622168670233-- 相似度：0.903779(T).jpg
1622168670296-- 相似度：0.786475(T).jpg
1622168670361-- 相似度：0.809407(T).jpg
1622168670424-- 相似度：0.778398(T).jpg
1622168670484-- 相似度：0.895324(T).jpg
1622168670545-- 相似度：0.839772(T).jpg
1622168670605-- 相似度：0.61777(T).jpg
1622168675419-- 相似度：0.945978(D).jpg
1622168675507-- 相似度：0.983681(T).jpg
1622168675578-- 相似度：0.982442(T).jpg
1622168675648-- 相似度：0.975517(T).jpg
1622168675712-- 相似度：0.987993(T).jpg
1622168675774-- 相似度：0.972229(T).jpg
1622168675835-- 相似度：0.98333(T).jpg
1622168675897-- 相似度：0.989232(T).jpg
1622168675958-- 相似度：0.980061(T).jpg
1622168676018-- 相似度：0.986218(T).jpg
1622168676078-- 相似度：0.962877(T).jpg
1622168681753-- 相似度：0.747723(D).jpg
1622168681834-- 相似度：0.938119(T).jpg
1622168681904-- 相似度：0.954299(T).jpg
1622168681973-- 相似度：0.983856(T).jpg
1622168682035-- 相似度：0.986546(T).jpg
1622168682096-- 相似度：0.960824(T).jpg
1622168682159-- 相似度：0.96338(T).jpg
1622168682219-- 相似度：0.991026(T).jpg
1622168682282-- 相似度：0.997541(T).jpg
1622168682343-- 相似度：0.998259(T).jpg
1622168682405-- 相似度：0.996778(T).jpg
1622168687218-- 相似度：0.833268(D).jpg
1622168687305-- 相似度：0.975685(T).jpg
1622168687370-- 相似度：0.95474(T).jpg
