1622702808303-- 相似度：0.581011(D).jpg
1622702808392-- 相似度：0.996198(T).jpg
1622702808478-- 相似度：0.998985(T).jpg
1622702808561-- 相似度：0.998984(T).jpg
1622702808648-- 相似度：0.998039(T).jpg
1622702811078-- 相似度：0.772277(D).jpg
1622702811162-- 相似度：0.977166(T).jpg
1622702811245-- 相似度：0.953909(T).jpg
1622702811325-- 相似度：0.871114(T).jpg
1622702811411-- 相似度：0.937222(T).jpg
1622702817807-- 相似度：0.611342(D).jpg
1622702817894-- 相似度：0.999177(T).jpg
1622702818302-- 相似度：0.260893(D).jpg
1622702818382-- 相似度：0.026245(T).jpg
1622702818471-- 相似度：0.365807(T).jpg
1622702818979-- 相似度：0.265029(D).jpg
1622702819066-- 相似度：0.671155(T).jpg
1622702819145-- 相似度：0.730116(T).jpg
1622702819224-- 相似度：0.73651(T).jpg
1622702819300-- 相似度：0.866211(T).jpg
1622702821581-- 相似度：0.578198(D).jpg
1622702821665-- 相似度：0.979675(T).jpg
1622702821744-- 相似度：0.983212(T).jpg
1622702821826-- 相似度：0.998715(T).jpg
1622702821904-- 相似度：0.998012(T).jpg
1622702824180-- 相似度：0.979352(D).jpg
1622702824264-- 相似度：0.999761(T).jpg
1622702824351-- 相似度：0.999695(T).jpg
1622702824435-- 相似度：0.998772(T).jpg
1622702824516-- 相似度：0.98711(T).jpg
1622702836087-- 相似度：0.038638(D).jpg
1622702836382-- 相似度：0.119809(D).jpg
1622702836661-- 相似度：0.322764(D).jpg
1622702836743-- 相似度：0.906827(T).jpg
1622702836817-- 相似度：0.947669(T).jpg
1622702836894-- 相似度：0.939928(T).jpg
1622702836969-- 相似度：0.89336(T).jpg
1622702838755-- 相似度：0.986977(D).jpg
1622702838836-- 相似度：0.988923(T).jpg
1622702838913-- 相似度：0.988522(T).jpg
1622702838992-- 相似度：0.980363(T).jpg
1622702839074-- 相似度：0.971323(T).jpg
1622702840858-- 相似度：0.647302(D).jpg
1622702840939-- 相似度：0.998172(T).jpg
1622702841018-- 相似度：0.98885(T).jpg
1622702841099-- 相似度：0.990592(T).jpg
1622702841182-- 相似度：0.987212(T).jpg
1622702843121-- 相似度：0.992852(D).jpg
1622702843210-- 相似度：0.9843(T).jpg
1622702843286-- 相似度：0.993627(T).jpg
1622702843371-- 相似度：0.995826(T).jpg
1622702843455-- 相似度：0.993119(T).jpg
1622702844890-- 相似度：0.118193(D).jpg
1622702845135-- 相似度：0.588529(T).jpg
1622702845218-- 相似度：0.275827(D).jpg
1622702845294-- 相似度：0.415322(T).jpg
1622702845368-- 相似度：0.450431(T).jpg
1622702845440-- 相似度：0.074242(T).jpg
1622702845518-- 相似度：0.201667(T).jpg
1622702848524-- 相似度：0.87123(D).jpg
1622702848607-- 相似度：0.962422(T).jpg
1622702848685-- 相似度：0.961999(T).jpg
1622702848763-- 相似度：0.975586(T).jpg
1622702848840-- 相似度：0.946634(T).jpg
1622702850797-- 相似度：0.917784(D).jpg
1622702850885-- 相似度：0.990731(T).jpg
1622702850966-- 相似度：0.993129(T).jpg
1622702851048-- 相似度：0.996151(T).jpg
1622702851128-- 相似度：0.984175(T).jpg
1622702855096-- 相似度：0.862815(D).jpg
1622702855180-- 相似度：0.201505(T).jpg
1622702855446-- 相似度：0.457816(D).jpg
1622702855527-- 相似度：0.768267(T).jpg
1622702855609-- 相似度：0.773595(T).jpg
1622702855690-- 相似度：0.506118(T).jpg
1622702855773-- 相似度：0.947013(T).jpg
1622702857668-- 相似度：0.998867(D).jpg
1622702857746-- 相似度：0.999245(T).jpg
1622702857828-- 相似度：0.999473(T).jpg
1622702857915-- 相似度：0.999923(T).jpg
1622702857996-- 相似度：0.998263(T).jpg
1622702867597-- 相似度：0.002199(D).jpg
1622702867671-- 相似度：0.755212(T).jpg
1622702867746-- 相似度：0.52175(T).jpg
1622702867816-- 相似度：0.350385(T).jpg
1622702867886-- 相似度：0.170878(T).jpg
1622702870167-- 相似度：0.572466(D).jpg
1622702870241-- 相似度：0.69153(T).jpg
1622702870313-- 相似度：0.964543(T).jpg
1622702870391-- 相似度：0.719334(T).jpg
1622702870463-- 相似度：0.933408(T).jpg
1622702872596-- 相似度：0.801442(D).jpg
1622702872674-- 相似度：0.973789(T).jpg
1622702872743-- 相似度：0.987328(T).jpg
1622702872816-- 相似度：0.931368(T).jpg
1622702872888-- 相似度：0.991307(T).jpg
1622702874841-- 相似度：0.32429(D).jpg
1622702874912-- 相似度：0.674266(T).jpg
1622702874982-- 相似度：0.887953(T).jpg
1622702875051-- 相似度：0.986226(T).jpg
1622702875131-- 相似度：0.998184(T).jpg
1622702879421-- 相似度：0.971013(D).jpg
1622702879491-- 相似度：0.675815(T).jpg
1622702879558-- 相似度：0.486383(T).jpg
1622702879628-- 相似度：0.106059(T).jpg
1622702879697-- 相似度：0.267106(T).jpg
1622702882818-- 相似度：0.931882(D).jpg
1622702882900-- 相似度：0.934658(T).jpg
1622702882977-- 相似度：0.947639(T).jpg
1622702883057-- 相似度：0.895561(T).jpg
1622702883140-- 相似度：0.868822(T).jpg
1622702885551-- 相似度：0.951999(D).jpg
1622702885630-- 相似度：0.959207(T).jpg
1622702885706-- 相似度：0.885854(T).jpg
1622702885785-- 相似度：0.898683(T).jpg
1622702885861-- 相似度：0.89682(T).jpg
1622702888068-- 相似度：0.947557(D).jpg
1622702888153-- 相似度：0.987082(T).jpg
1622702888236-- 相似度：0.964793(T).jpg
1622702888314-- 相似度：0.980466(T).jpg
1622702888392-- 相似度：0.993549(T).jpg
1622702891038-- 相似度：0.991898(D).jpg
1622702891119-- 相似度：0.96269(T).jpg
1622702891197-- 相似度：0.912202(T).jpg
1622702891278-- 相似度：0.942573(T).jpg
1622702891358-- 相似度：0.945264(T).jpg
1622702893742-- 相似度：0.8194(D).jpg
1622702893819-- 相似度：0.658837(T).jpg
1622702893895-- 相似度：0.598969(T).jpg
1622702893975-- 相似度：0.487627(T).jpg
1622702894050-- 相似度：0.677564(T).jpg
1622702894544-- 相似度：0.688777(D).jpg
1622702894624-- 相似度：0.673964(T).jpg
1622702894702-- 相似度：0.395598(T).jpg
1622702894778-- 相似度：0.612463(T).jpg
1622702894852-- 相似度：0.652377(T).jpg
1622702895780-- 相似度：0.208734(D).jpg
1622702896642-- 相似度：0.954598(D).jpg
1622702896722-- 相似度：0.331988(T).jpg
1622702896798-- 相似度：0.362342(T).jpg
1622702896871-- 相似度：0.961347(T).jpg
1622702896943-- 相似度：0.752427(T).jpg
1622702901755-- 相似度：0.770919(D).jpg
1622702902051-- 相似度：0.605678(D).jpg
1622702902646-- 相似度：0.194792(D).jpg
1622702902727-- 相似度：0.719064(T).jpg
1622702902806-- 相似度：0.849517(T).jpg
1622702902877-- 相似度：0.851984(T).jpg
1622702902949-- 相似度：0.838697(T).jpg
1622702905355-- 相似度：0.156535(D).jpg
1622702905432-- 相似度：0.935982(T).jpg
1622702905501-- 相似度：0.786089(T).jpg
1622702905574-- 相似度：0.739917(T).jpg
1622702905648-- 相似度：0.913012(T).jpg
1622702908432-- 相似度：0.486227(D).jpg
1622702908509-- 相似度：0.512523(T).jpg
1622702908580-- 相似度：0.839374(T).jpg
1622702908659-- 相似度：0.521399(T).jpg
1622702908734-- 相似度：0.554313(T).jpg
1622702911499-- 相似度：0.5545(D).jpg
1622702911575-- 相似度：0.90793(T).jpg
1622702911649-- 相似度：0.641589(T).jpg
1622702911718-- 相似度：0.478449(T).jpg
1622702911790-- 相似度：0.735789(T).jpg
1622702913501-- 相似度：0.442787(D).jpg
1622702913577-- 相似度：0.921256(T).jpg
1622702913649-- 相似度：0.954621(T).jpg
1622702913723-- 相似度：0.96895(T).jpg
1622702913798-- 相似度：0.959064(T).jpg
1622702916114-- 相似度：0.874822(D).jpg
1622702916191-- 相似度：0.476765(T).jpg
1622702916263-- 相似度：0.916241(T).jpg
1622702916338-- 相似度：0.699891(T).jpg
1622702916413-- 相似度：0.605923(T).jpg
1622702918619-- 相似度：0.755278(D).jpg
1622702918702-- 相似度：0.902519(T).jpg
