1622455640836-- 相似度：0.999588(D).jpg
1622455641017-- 相似度：0.999755(T).jpg
1622455641213-- 相似度：0.99946(T).jpg
1622455641399-- 相似度：0.999458(T).jpg
1622455641580-- 相似度：0.999349(T).jpg
1622455643064-- 相似度：0.99987(D).jpg
1622455643254-- 相似度：0.998931(T).jpg
1622455643435-- 相似度：0.999876(T).jpg
1622455643614-- 相似度：0.999877(T).jpg
1622455643796-- 相似度：0.999878(T).jpg
1622455645175-- 相似度：0.884892(D).jpg
1622455645358-- 相似度：0.974762(T).jpg
1622455645536-- 相似度：0.995954(T).jpg
1622455645714-- 相似度：0.848722(T).jpg
1622455645895-- 相似度：0.991803(T).jpg
1622455647192-- 相似度：0.988294(D).jpg
1622455647403-- 相似度：0.999481(T).jpg
1622455647609-- 相似度：0.995505(T).jpg
1622455647817-- 相似度：0.998432(T).jpg
1622455648025-- 相似度：0.999437(T).jpg
1622455651621-- 相似度：0.999974(D).jpg
1622455651811-- 相似度：1.0(T).jpg
1622455652004-- 相似度：0.999998(T).jpg
1622455652198-- 相似度：0.999993(T).jpg
1622455652395-- 相似度：0.999992(T).jpg
1622455659789-- 相似度：0.737402(D).jpg
1622455659995-- 相似度：0.890767(T).jpg
1622455660199-- 相似度：0.948512(T).jpg
1622455660408-- 相似度：0.917647(T).jpg
1622455660605-- 相似度：0.98283(T).jpg
1622455663050-- 相似度：0.838868(D).jpg
1622455663237-- 相似度：0.957988(T).jpg
1622455663434-- 相似度：0.993424(T).jpg
1622455663626-- 相似度：0.997259(T).jpg
1622455663815-- 相似度：0.859051(T).jpg
1622455665634-- 相似度：0.873451(D).jpg
1622455665827-- 相似度：0.609595(T).jpg
1622455666015-- 相似度：0.991988(T).jpg
1622455666204-- 相似度：0.992239(T).jpg
1622455666398-- 相似度：0.995659(T).jpg
1622455668543-- 相似度：0.683994(D).jpg
1622455668745-- 相似度：0.714832(T).jpg
1622455668945-- 相似度：0.698436(T).jpg
1622455669146-- 相似度：0.681375(T).jpg
1622455669354-- 相似度：0.688513(T).jpg
1622455670884-- 相似度：0.249679(D).jpg
1622455671090-- 相似度：0.387662(T).jpg
1622455671297-- 相似度：0.584503(T).jpg
1622455671505-- 相似度：0.485012(T).jpg
1622455671712-- 相似度：0.700393(T).jpg
1622455675441-- 相似度：0.999514(D).jpg
1622455675715-- 相似度：0.522054(D).jpg
