1621913236886-- 相似度：0.014199(D).jpg
1621913236959-- 相似度：0.020217(T).jpg
1621913237030-- 相似度：0.018258(T).jpg
1621913237106-- 相似度：0.022823(T).jpg
1621913237177-- 相似度：0.023053(T).jpg
1621913237248-- 相似度：0.017885(T).jpg
1621913237317-- 相似度：0.00716(T).jpg
1621913237387-- 相似度：0.01762(T).jpg
1621913237467-- 相似度：0.017158(T).jpg
1621913237538-- 相似度：0.016477(T).jpg
1621913237621-- 相似度：0.012476(T).jpg
1621913240149-- 相似度：0.56839(D).jpg
1621913240224-- 相似度：0.512086(T).jpg
1621913240295-- 相似度：0.433124(T).jpg
1621913240366-- 相似度：0.335595(T).jpg
1621913240441-- 相似度：0.333379(T).jpg
1621913240511-- 相似度：0.377723(T).jpg
1621913240590-- 相似度：0.237217(T).jpg
1621913240661-- 相似度：0.371328(T).jpg
1621913240746-- 相似度：0.291455(T).jpg
1621913240816-- 相似度：0.338888(T).jpg
1621913240886-- 相似度：0.263986(T).jpg
1621913248108-- 相似度：0.321448(D).jpg
1621913248182-- 相似度：0.254461(T).jpg
1621913248250-- 相似度：0.285228(T).jpg
1621913248323-- 相似度：0.073455(T).jpg
1621913248392-- 相似度：0.053338(T).jpg
1621913248465-- 相似度：0.053338(T).jpg
1621913248535-- 相似度：0.056318(T).jpg
1621913248610-- 相似度：0.034227(T).jpg
1621913248680-- 相似度：0.034227(T).jpg
1621913248763-- 相似度：0.030103(T).jpg
1621913248835-- 相似度：0.053067(T).jpg
1621913253298-- 相似度：0.178845(D).jpg
1621913253375-- 相似度：0.164323(T).jpg
1621913253445-- 相似度：0.386276(T).jpg
1621913253515-- 相似度：0.265222(T).jpg
1621913253584-- 相似度：0.058212(T).jpg
1621913253653-- 相似度：0.071398(T).jpg
1621913253722-- 相似度：0.037773(T).jpg
1621913253790-- 相似度：0.010703(T).jpg
1621913253860-- 相似度：0.010703(T).jpg
1621913253938-- 相似度：0.023049(T).jpg
1621913254008-- 相似度：0.023473(T).jpg
1621913258560-- 相似度：0.001489(D).jpg
1621913258635-- 相似度：0.001602(T).jpg
1621913258707-- 相似度：0.00131(T).jpg
1621913258775-- 相似度：0.001308(T).jpg
1621913258846-- 相似度：7.58E-4(T).jpg
1621913258916-- 相似度：7.92E-4(T).jpg
1621913258990-- 相似度：7.52E-4(T).jpg
1621913259060-- 相似度：2.74E-4(T).jpg
1621913259129-- 相似度：2.74E-4(T).jpg
1621913259198-- 相似度：3.45E-4(T).jpg
1621913259280-- 相似度：5.27E-4(T).jpg
1621913263946-- 相似度：0.014802(D).jpg
1621913264021-- 相似度：0.384856(T).jpg
1621913264089-- 相似度：0.126699(T).jpg
1621913264158-- 相似度：0.052582(T).jpg
1621913264231-- 相似度：0.036908(T).jpg
1621913264300-- 相似度：0.045845(T).jpg
1621913264378-- 相似度：0.010829(T).jpg
1621913264448-- 相似度：0.004678(T).jpg
1621913264533-- 相似度：0.003986(T).jpg
1621913264606-- 相似度：0.005366(T).jpg
1621913264679-- 相似度：0.005894(T).jpg
1621913269159-- 相似度：0.869888(D).jpg
1621913269235-- 相似度：0.762409(T).jpg
1621913269307-- 相似度：0.690177(T).jpg
1621913269374-- 相似度：0.614425(T).jpg
1621913269440-- 相似度：0.583087(T).jpg
1621913269513-- 相似度：0.59779(T).jpg
1621913269581-- 相似度：0.58609(T).jpg
1621913269654-- 相似度：0.695317(T).jpg
1621913269728-- 相似度：0.695317(T).jpg
1621913269808-- 相似度：0.637667(T).jpg
1621913269879-- 相似度：0.700051(T).jpg
