1622028392284-- 相似度：0.079115(D).jpg
1622028392362-- 相似度：0.072021(T).jpg
1622028392432-- 相似度：0.076236(T).jpg
1622028392494-- 相似度：0.046235(T).jpg
1622028392557-- 相似度：0.103511(T).jpg
1622028392620-- 相似度：0.079204(T).jpg
1622028392682-- 相似度：0.097499(T).jpg
1622028392752-- 相似度：0.088609(T).jpg
1622028392815-- 相似度：0.0589(T).jpg
1622028392892-- 相似度：0.075948(T).jpg
1622028392961-- 相似度：0.038827(T).jpg
1622028394327-- 相似度：0.037879(D).jpg
1622028394409-- 相似度：0.04129(T).jpg
1622028394491-- 相似度：0.07476(T).jpg
1622028394575-- 相似度：0.044985(T).jpg
1622028394653-- 相似度：0.040831(T).jpg
1622028394728-- 相似度：0.057765(T).jpg
1622028394793-- 相似度：0.054372(T).jpg
1622028394855-- 相似度：0.10547(T).jpg
1622028394916-- 相似度：0.08818(T).jpg
1622028394985-- 相似度：0.061127(T).jpg
1622028395048-- 相似度：0.646637(T).jpg
1622028395679-- 相似度：0.033176(D).jpg
1622028395746-- 相似度：0.04176(T).jpg
1622028395807-- 相似度：0.011838(T).jpg
1622028395867-- 相似度：0.002922(T).jpg
1622028395927-- 相似度：0.002198(T).jpg
1622028395986-- 相似度：0.004934(T).jpg
1622028396054-- 相似度：0.00774(T).jpg
1622028396116-- 相似度：0.005602(T).jpg
1622028396325-- 相似度：0.009193(T).jpg
1622028396390-- 相似度：0.005939(T).jpg
1622028396462-- 相似度：0.011404(T).jpg
1622028401415-- 相似度：0.850073(D).jpg
1622028401481-- 相似度：0.94745(T).jpg
1622028401548-- 相似度：0.956492(T).jpg
1622028401609-- 相似度：0.815009(T).jpg
1622028401669-- 相似度：0.817736(T).jpg
1622028401734-- 相似度：0.81261(T).jpg
1622028401795-- 相似度：0.855918(T).jpg
1622028401854-- 相似度：0.821779(T).jpg
1622028401921-- 相似度：0.78325(T).jpg
1622028401983-- 相似度：0.78325(T).jpg
1622028402051-- 相似度：0.866702(T).jpg
1622028407341-- 相似度：0.011659(D).jpg
1622028407405-- 相似度：0.016159(T).jpg
1622028407464-- 相似度：0.007409(T).jpg
1622028407523-- 相似度：0.004942(T).jpg
1622028407582-- 相似度：0.004213(T).jpg
1622028407648-- 相似度：0.00636(T).jpg
1622028407707-- 相似度：0.002911(T).jpg
1622028407765-- 相似度：0.004337(T).jpg
1622028407825-- 相似度：0.003849(T).jpg
1622028407888-- 相似度：0.009682(T).jpg
1622028407954-- 相似度：0.005763(T).jpg
1622028413012-- 相似度：0.641651(D).jpg
1622028413074-- 相似度：0.590526(T).jpg
1622028413133-- 相似度：0.538425(T).jpg
1622028413192-- 相似度：0.476409(T).jpg
1622028413256-- 相似度：0.328885(T).jpg
1622028413316-- 相似度：0.221937(T).jpg
