1622087250744-- 相似度：0.461481(D).jpg
1622087250808-- 相似度：0.149517(T).jpg
1622087250867-- 相似度：0.181076(T).jpg
1622087262790-- 相似度：0.721396(D).jpg
1622087262854-- 相似度：0.651215(T).jpg
1622087262913-- 相似度：0.962366(T).jpg
1622087264514-- 相似度：0.99305(D).jpg
1622087264577-- 相似度：0.988208(T).jpg
1622087264643-- 相似度：0.991037(T).jpg
1622087266685-- 相似度：0.999478(D).jpg
1622087266747-- 相似度：0.999218(T).jpg
1622087266812-- 相似度：0.996096(T).jpg
1622087268852-- 相似度：0.999114(D).jpg
1622087268922-- 相似度：0.99485(T).jpg
1622087268985-- 相似度：0.99849(T).jpg
1622087272187-- 相似度：0.986319(D).jpg
1622087272254-- 相似度：0.811606(T).jpg
1622087272312-- 相似度：0.831002(T).jpg
1622087273919-- 相似度：0.536277(D).jpg
1622087273987-- 相似度：0.585542(T).jpg
1622087274049-- 相似度：0.843671(T).jpg
1622087274931-- 相似度：0.627398(D).jpg
1622087274992-- 相似度：0.865475(T).jpg
1622087275051-- 相似度：0.817506(T).jpg
1622087276517-- 相似度：0.702146(D).jpg
1622087276587-- 相似度：0.821624(T).jpg
1622087276650-- 相似度：0.704021(T).jpg
1622087277907-- 相似度：0.799393(D).jpg
1622087277970-- 相似度：0.816493(T).jpg
1622087278032-- 相似度：0.761462(T).jpg
1622087278911-- 相似度：0.774119(D).jpg
1622087278975-- 相似度：0.747221(T).jpg
1622087279037-- 相似度：0.366035(T).jpg
1622087279530-- 相似度：0.520725(D).jpg
1622087279599-- 相似度：0.725832(T).jpg
1622087279666-- 相似度：0.69761(T).jpg
1622087280972-- 相似度：0.777633(D).jpg
1622087281036-- 相似度：0.760639(T).jpg
1622087281097-- 相似度：0.468599(T).jpg
1622087282478-- 相似度：0.656848(D).jpg
1622087282543-- 相似度：0.532489(T).jpg
1622087282609-- 相似度：0.509138(T).jpg
1622087283693-- 相似度：0.694731(D).jpg
1622087283757-- 相似度：0.917838(T).jpg
1622087284259-- 相似度：0.544243(D).jpg
1622087284328-- 相似度：0.542614(T).jpg
1622087284388-- 相似度：0.67757(T).jpg
1622087285907-- 相似度：0.082786(D).jpg
1622087285971-- 相似度：0.114874(T).jpg
1622087286533-- 相似度：0.503314(D).jpg
1622087286601-- 相似度：0.51426(T).jpg
1622087286668-- 相似度：0.496748(T).jpg
1622087288174-- 相似度：0.822673(D).jpg
1622087288241-- 相似度：0.610761(T).jpg
1622087288308-- 相似度：0.489956(T).jpg
1622087290178-- 相似度：0.624114(D).jpg
1622087290247-- 相似度：0.830971(T).jpg
1622087290309-- 相似度：0.806876(T).jpg
1622087292023-- 相似度：0.632785(D).jpg
1622087292089-- 相似度：0.879991(T).jpg
1622087292148-- 相似度：0.761454(T).jpg
1622087293704-- 相似度：0.706856(D).jpg
1622087293769-- 相似度：0.920146(T).jpg
1622087293831-- 相似度：0.761217(T).jpg
1622087295376-- 相似度：0.818217(D).jpg
1622087295444-- 相似度：0.895186(T).jpg
1622087295506-- 相似度：0.846343(T).jpg
1622087296699-- 相似度：0.641852(D).jpg
1622087296766-- 相似度：0.525338(T).jpg
1622087296830-- 相似度：0.33509(T).jpg
1622087297967-- 相似度：0.572948(D).jpg
1622087298029-- 相似度：0.156273(T).jpg
1622087298590-- 相似度：0.474225(D).jpg
1622087298660-- 相似度：0.609123(T).jpg
1622087298722-- 相似度：0.616789(T).jpg
1622087300314-- 相似度：0.863916(D).jpg
1622087300382-- 相似度：0.861169(T).jpg
1622087300447-- 相似度：0.726661(T).jpg
1622087302338-- 相似度：0.650567(D).jpg
1622087302405-- 相似度：0.686526(T).jpg
1622087302473-- 相似度：0.504324(T).jpg
1622087303963-- 相似度：0.287297(D).jpg
1622087304024-- 相似度：0.126744(T).jpg
1622087304590-- 相似度：0.496695(D).jpg
1622087304662-- 相似度：0.563758(T).jpg
1622087304726-- 相似度：0.614983(T).jpg
1622087307769-- 相似度：0.816195(D).jpg
1622087307831-- 相似度：0.591666(T).jpg
1622087307891-- 相似度：0.583095(T).jpg
1622087309829-- 相似度：0.966725(D).jpg
1622087309898-- 相似度：0.956945(T).jpg
1622087309960-- 相似度：0.890376(T).jpg
1622087311700-- 相似度：0.855631(D).jpg
1622087311767-- 相似度：0.664763(T).jpg
1622087311832-- 相似度：0.43194(T).jpg
1622087314092-- 相似度：0.653659(D).jpg
1622087314160-- 相似度：0.570082(T).jpg
1622087314222-- 相似度：0.774051(T).jpg
1622087316587-- 相似度：0.979366(D).jpg
1622087316651-- 相似度：0.740366(T).jpg
1622087316714-- 相似度：0.990708(T).jpg
1622087332859-- 相似度：0.999388(D).jpg
1622087332925-- 相似度：0.999253(T).jpg
1622087332984-- 相似度：0.999661(T).jpg
1622087335776-- 相似度：0.999064(D).jpg
1622087335837-- 相似度：0.997168(T).jpg
1622087335896-- 相似度：0.998805(T).jpg
1622087337561-- 相似度：0.999012(D).jpg
1622087337628-- 相似度：0.999603(T).jpg
1622087337693-- 相似度：0.999828(T).jpg
1622087340801-- 相似度：0.998057(D).jpg
1622087340870-- 相似度：0.996056(T).jpg
1622087340933-- 相似度：0.998171(T).jpg
1622087344493-- 相似度：0.9985(D).jpg
1622087344557-- 相似度：0.996894(T).jpg
1622087344615-- 相似度：0.997292(T).jpg
1622087350777-- 相似度：0.852723(D).jpg
1622087350840-- 相似度：0.87519(T).jpg
1622087350907-- 相似度：0.752532(T).jpg
1622087352213-- 相似度：0.90615(D).jpg
1622087352278-- 相似度：0.993151(T).jpg
1622087352339-- 相似度：0.994747(T).jpg
1622087353658-- 相似度：0.999132(D).jpg
1622087353720-- 相似度：0.998439(T).jpg
1622087353782-- 相似度：0.992802(T).jpg
1622087363135-- 相似度：0.999847(D).jpg
1622087363204-- 相似度：0.998898(T).jpg
1622087363265-- 相似度：0.999736(T).jpg
1622087365296-- 相似度：0.852805(D).jpg
1622087365363-- 相似度：0.803008(T).jpg
1622087365432-- 相似度：0.877018(T).jpg
1622087367040-- 相似度：0.996406(D).jpg
1622087367111-- 相似度：0.993813(T).jpg
1622087367175-- 相似度：0.997648(T).jpg
1622087368510-- 相似度：0.99687(D).jpg
1622087368582-- 相似度：0.997511(T).jpg
1622087368650-- 相似度：0.994931(T).jpg
1622087372014-- 相似度：0.907346(D).jpg
1622087372082-- 相似度：0.978633(T).jpg
1622087372146-- 相似度：0.973703(T).jpg
1622087373747-- 相似度：0.991742(D).jpg
1622087373810-- 相似度：0.981718(T).jpg
1622087373872-- 相似度：0.985078(T).jpg
1622087375387-- 相似度：0.964606(D).jpg
1622087375452-- 相似度：0.982822(T).jpg
1622087375514-- 相似度：0.975291(T).jpg
1622087379813-- 相似度：0.940202(D).jpg
1622087379878-- 相似度：0.906253(T).jpg
1622087380903-- 相似度：0.967435(D).jpg
1622087380972-- 相似度：0.901867(T).jpg
1622087381031-- 相似度：0.965503(T).jpg
1622087382634-- 相似度：0.977211(D).jpg
1622087382708-- 相似度：0.930151(T).jpg
1622087382771-- 相似度：0.978405(T).jpg
1622087384005-- 相似度：0.323199(D).jpg
1622087384067-- 相似度：0.162023(T).jpg
1622087384633-- 相似度：0.942432(D).jpg
1622087384701-- 相似度：0.940699(T).jpg
1622087384766-- 相似度：0.898118(T).jpg
1622087390136-- 相似度：0.68321(D).jpg
1622087390199-- 相似度：0.51928(T).jpg
1622087394758-- 相似度：0.976028(D).jpg
1622087394826-- 相似度：0.936556(T).jpg
1622087394892-- 相似度：0.987494(T).jpg
1622087396447-- 相似度：0.999878(D).jpg
1622087396510-- 相似度：0.999619(T).jpg
1622087396574-- 相似度：0.999052(T).jpg
1622087397978-- 相似度：0.972616(D).jpg
1622087398046-- 相似度：0.999579(T).jpg
1622087398109-- 相似度：0.999857(T).jpg
1622087401771-- 相似度：0.897206(D).jpg
1622087401835-- 相似度：0.63157(T).jpg
1622087402361-- 相似度：0.930782(D).jpg
1622087402430-- 相似度：0.61298(T).jpg
1622087402495-- 相似度：0.909461(T).jpg
1622087403873-- 相似度：0.534244(D).jpg
1622087403943-- 相似度：0.953769(T).jpg
1622087404010-- 相似度：0.986252(T).jpg
1622087405874-- 相似度：0.954179(D).jpg
1622087405944-- 相似度：0.928986(T).jpg
1622087406011-- 相似度：0.861994(T).jpg
1622087407377-- 相似度：0.490475(D).jpg
1622087407442-- 相似度：0.163536(T).jpg
1622087408015-- 相似度：0.892334(D).jpg
1622087408084-- 相似度：0.875606(T).jpg
1622087408155-- 相似度：0.949494(T).jpg
1622087410025-- 相似度：0.978509(D).jpg
1622087410092-- 相似度：0.992809(T).jpg
1622087410156-- 相似度：0.959149(T).jpg
1622087411791-- 相似度：0.428791(D).jpg
1622087411856-- 相似度：0.760908(T).jpg
1622087411917-- 相似度：0.833977(T).jpg
1622087413271-- 相似度：0.959143(D).jpg
1622087413339-- 相似度：0.350656(T).jpg
1622087413884-- 相似度：0.923941(D).jpg
1622087413953-- 相似度：0.956941(T).jpg
1622087414021-- 相似度：0.84892(T).jpg
1622087415603-- 相似度：0.999851(D).jpg
1622087415674-- 相似度：0.999849(T).jpg
1622087415743-- 相似度：0.999752(T).jpg
1622087417065-- 相似度：0.921123(D).jpg
1622087417137-- 相似度：0.808848(T).jpg
1622087417208-- 相似度：0.8295(T).jpg
1622087418573-- 相似度：0.771271(D).jpg
1622087418639-- 相似度：0.924077(T).jpg
1622087418709-- 相似度：0.927611(T).jpg
1622087420198-- 相似度：0.748739(D).jpg
1622087420265-- 相似度：0.792658(T).jpg
1622087420325-- 相似度：0.527695(T).jpg
1622087424694-- 相似度：0.651511(D).jpg
1622087424757-- 相似度：0.512521(T).jpg
1622087424819-- 相似度：0.526464(T).jpg
1622087426385-- 相似度：0.955468(D).jpg
1622087426451-- 相似度：0.949105(T).jpg
1622087426510-- 相似度：0.864336(T).jpg
1622087427909-- 相似度：0.981608(D).jpg
1622087427972-- 相似度：0.850362(T).jpg
1622087428038-- 相似度：0.973657(T).jpg
1622087430014-- 相似度：0.605477(D).jpg
1622087430083-- 相似度：0.528879(T).jpg
1622087430144-- 相似度：0.639011(T).jpg
1622087431587-- 相似度：0.665976(D).jpg
1622087431652-- 相似度：0.647972(T).jpg
1622087431714-- 相似度：0.744285(T).jpg
1622087433058-- 相似度：0.97321(D).jpg
1622087433125-- 相似度：0.822579(T).jpg
1622087433185-- 相似度：0.96651(T).jpg
1622087434318-- 相似度：0.47819(D).jpg
1622087434384-- 相似度：0.822332(T).jpg
1622087434939-- 相似度：0.964139(D).jpg
1622087435006-- 相似度：0.924443(T).jpg
1622087435066-- 相似度：0.949616(T).jpg
1622087443387-- 相似度：0.900272(D).jpg
1622087443452-- 相似度：0.949942(T).jpg
1622087443513-- 相似度：0.976931(T).jpg
1622087444916-- 相似度：0.916467(D).jpg
1622087444985-- 相似度：0.566944(T).jpg
1622087445051-- 相似度：0.520015(T).jpg
1622087446361-- 相似度：0.701098(D).jpg
1622087446427-- 相似度：0.58196(T).jpg
1622087446489-- 相似度：0.706033(T).jpg
1622087447776-- 相似度：0.938728(D).jpg
1622087447839-- 相似度：0.297044(T).jpg
1622087447901-- 相似度：0.162387(T).jpg
1622087449515-- 相似度：0.836321(D).jpg
1622087449581-- 相似度：0.531194(T).jpg
1622087449641-- 相似度：0.936541(T).jpg
1622087450977-- 相似度：0.261511(D).jpg
1622087451042-- 相似度：0.720301(T).jpg
1622087451108-- 相似度：0.525608(T).jpg
1622087453321-- 相似度：0.999622(D).jpg
1622087453385-- 相似度：0.999959(T).jpg
1622087453450-- 相似度：0.999885(T).jpg
1622087454722-- 相似度：0.973787(D).jpg
1622087454787-- 相似度：0.925124(T).jpg
1622087454845-- 相似度：0.995986(T).jpg
1622087456378-- 相似度：0.986973(D).jpg
1622087456443-- 相似度：0.971029(T).jpg
1622087456509-- 相似度：0.98931(T).jpg
1622087457667-- 相似度：0.967291(D).jpg
1622087457736-- 相似度：0.999773(T).jpg
1622087457798-- 相似度：0.999567(T).jpg
1622087467334-- 相似度：0.492084(D).jpg
1622087467397-- 相似度：0.748497(T).jpg
1622087467459-- 相似度：0.937174(T).jpg
1622087474717-- 相似度：0.44716(D).jpg
1622087474782-- 相似度：0.499648(T).jpg
1622087474846-- 相似度：0.748519(T).jpg
1622087477357-- 相似度：0.431398(D).jpg
1622087477421-- 相似度：0.518754(T).jpg
1622087477486-- 相似度：0.475184(T).jpg
1622087478716-- 相似度：0.202864(D).jpg
1622087478784-- 相似度：0.541977(T).jpg
1622087478852-- 相似度：0.67875(T).jpg
