1625740042068- 结果：0.679363(T).jpg0.5
1625740148459- 结果：0.999961(T).jpg0.99
1625739939543- 结果：0.968246(D).jpg0.94
1625739939596- 结果：0.993632(T).jpg0.99
1625739939647- 结果：0.993632(T).jpg1.0
1625739939697- 结果：0.993358(T).jpg1.0
1625739939747- 结果：0.988823(T).jpg1.0
1625739941202- 结果：0.974802(D).jpg1.0
1625739941259- 结果：0.904111(T).jpg0.99
1625739941310- 结果：0.566658(T).jpg0.78
1625739941360- 结果：0.514932(T).jpg0.98
1625739941409- 结果：0.770177(T).jpg0.98
1625739942753- 结果：0.963115(D).jpg1.0
1625739942804- 结果：0.998208(T).jpg1.0
1625739942859- 结果：0.998208(T).jpg1.0
1625739942962- 结果：0.997425(T).jpg1.0
1625739944329- 结果：0.994754(D).jpg1.0
1625739944381- 结果：0.998071(T).jpg1.0
1625739944431- 结果：0.987465(T).jpg0.99
1625739944486- 结果：0.991689(T).jpg0.99
1625739945729- 结果：0.999943(D).jpg1.0
1625739945784- 结果：0.999916(T).jpg1.0
1625739945835- 结果：0.999959(T).jpg1.0
1625739945892- 结果：0.999953(T).jpg1.0
1625739945943- 结果：0.999906(T).jpg1.0
1625739948011- 结果：0.996327(D).jpg1.0
1625739948078- 结果：0.99312(T).jpg1.0
1625739948133- 结果：0.99312(T).jpg1.0
1625739948237- 结果：0.998458(T).jpg1.0
1625739949806- 结果：0.991144(D).jpg1.0
1625739949860- 结果：0.845745(T).jpg1.0
1625739949910- 结果：0.922136(T).jpg1.0
1625739949960- 结果：0.95037(T).jpg1.0
1625739950009- 结果：0.922346(T).jpg1.0
1625739951480- 结果：0.921592(D).jpg1.0
1625739951534- 结果：0.961526(T).jpg1.0
1625739951586- 结果：0.961526(T).jpg1.0
1625739951635- 结果：0.938795(T).jpg1.0
1625739951687- 结果：0.903405(T).jpg1.0
1625739953808- 结果：0.939953(D).jpg1.0
1625739953861- 结果：0.969718(T).jpg1.0
1625739953961- 结果：0.965202(T).jpg1.0
1625739954013- 结果：0.90476(T).jpg1.0
1625739955527- 结果：0.969564(D).jpg1.0
1625739955589- 结果：0.990504(T).jpg1.0
1625739955639- 结果：0.991324(T).jpg1.0
1625739955689- 结果：0.981301(T).jpg1.0
1625739955740- 结果：0.968022(T).jpg1.0
1625739957616- 结果：0.989823(D).jpg1.0
1625739957672- 结果：0.995192(T).jpg1.0
1625739957722- 结果：0.995192(T).jpg1.0
1625739957776- 结果：0.997664(T).jpg1.0
1625739957826- 结果：0.994191(T).jpg1.0
1625739961259- 结果：0.725533(D).jpg0.97
1625739942910- 结果：0.99678(T).jpg1.0
1625739948188- 结果：0.998181(T).jpg1.0
1625739953912- 结果：0.969718(T).jpg1.0
1625739961316- 结果：0.771378(T).jpg0.95
1625739966338- 结果：0.508165(D).jpg0.8
1625739970440- 结果：0.999672(T).jpg1.0
1625739977402- 结果：0.988361(D).jpg0.96
1625739996924- 结果：0.971965(T).jpg0.81
1625740003992- 结果：0.848535(T).jpg0.57
1625740015244- 结果：0.997144(T).jpg1.0
1625740028160- 结果：0.338629(D).jpg0.65
1625739961371- 结果：0.578784(T).jpg0.98
1625739961423- 结果：0.433517(T).jpg0.89
1625739961478- 结果：0.342146(T).jpg0.89
1625739963014- 结果：0.379036(D).jpg0.94
1625739963067- 结果：0.350432(T).jpg0.93
1625739963118- 结果：0.350432(T).jpg0.88
1625739963171- 结果：0.505791(T).jpg0.84
1625739963222- 结果：0.704033(T).jpg0.92
1625739964698- 结果：0.703651(D).jpg0.88
1625739964759- 结果：0.508925(T).jpg0.88
1625739964812- 结果：0.482478(T).jpg0.83
1625739964862- 结果：0.485482(T).jpg0.7
1625739964917- 结果：0.485482(T).jpg0.74
1625739966594- 结果：0.545398(D).jpg0.92
1625739966662- 结果：0.649975(T).jpg0.89
1625739966716- 结果：0.521133(T).jpg0.98
1625739966768- 结果：0.527753(T).jpg0.92
1625739966819- 结果：0.600457(T).jpg0.93
1625739968450- 结果：0.998879(D).jpg1.0
1625739968702- 结果：0.999686(D).jpg0.98
1625739968755- 结果：0.998224(T).jpg1.0
1625739968810- 结果：0.996168(T).jpg1.0
1625739968863- 结果：0.99867(T).jpg1.0
1625739968916- 结果：0.99867(T).jpg0.97
1625739969754- 结果：0.958618(D).jpg0.7
1625739970386- 结果：0.9997(D).jpg1.0
1625739970491- 结果：0.999857(T).jpg1.0
1625739970546- 结果：0.999468(T).jpg1.0
1625739970597- 结果：0.999479(T).jpg1.0
1625739973941- 结果：0.999889(D).jpg0.99
1625739973997- 结果：0.999835(T).jpg1.0
1625739974052- 结果：0.999835(T).jpg0.99
1625739974104- 结果：0.999722(T).jpg1.0
1625739974155- 结果：0.999748(T).jpg0.97
1625739975615- 结果：0.9994(D).jpg1.0
1625739975671- 结果：0.999596(T).jpg1.0
1625739975723- 结果：0.999873(T).jpg1.0
1625739975777- 结果：0.999873(T).jpg1.0
1625739975830- 结果：0.999958(T).jpg1.0
1625739982976- 结果：0.965045(T).jpg0.49
1625739983028- 结果：0.652377(T).jpg0.77
1625739983080- 结果：0.993775(T).jpg0.77
1625739983131- 结果：0.987207(T).jpg0.85
1625739990543- 结果：0.77931(D).jpg1.0
1625739990598- 结果：0.998927(T).jpg1.0
