1625747529471- 结果：0.768144(D).jpg-0.79.jpg
1625747529527- 结果：0.711955(T).jpg-0.79.jpg
1625747529576- 结果：0.585319(T).jpg-0.83.jpg
1625747529626- 结果：0.585319(T).jpg-0.9.jpg
1625747529676- 结果：0.631083(T).jpg-0.81.jpg
1625747537940- 结果：0.843647(D).jpg-0.46.jpg
1625747538003- 结果：0.655786(T).jpg-0.42.jpg
1625747538052- 结果：0.380284(T).jpg-0.42.jpg
1625747538102- 结果：0.386939(T).jpg-0.43.jpg
1625747538151- 结果：0.386939(T).jpg-0.35.jpg
1625747557365- 结果：0.02346(D).jpg-0.02.jpg
1625747557423- 结果：0.026756(T).jpg-0.01.jpg
1625747557474- 结果：0.026756(T).jpg-0.01.jpg
1625747557577- 结果：0.021906(T).jpg-0.02.jpg
1625747566641- 结果：0.133861(D).jpg-0.01.jpg
1625747566697- 结果：0.002688(T).jpg-0.01.jpg
1625747566746- 结果：6.950000000E-4(T).jpg-0.0.jpg
1625747566796- 结果：6.950000000E-4(T).jpg-0.0.jpg
1625747566847- 结果：6.280000000E-4(T).jpg-0.0.jpg
1625747576449- 结果：0.038972(D).jpg-0.17.jpg
1625747576504- 结果：0.008623(T).jpg-0.17.jpg
1625747576556- 结果：0.008182(T).jpg-0.15.jpg
1625747576607- 结果：0.008182(T).jpg-0.14.jpg
1625747576659- 结果：0.005124(T).jpg-0.04.jpg
1625747592117- 结果：0.071723(D).jpg-0.01.jpg
1625747592170- 结果：0.009036(T).jpg-0.01.jpg
1625747592272- 结果：0.010275(T).jpg-0.01.jpg
1625747592323- 结果：0.009257(T).jpg-0.01.jpg
1625747601147- 结果：0.992196(D).jpg-1.0.jpg
1625747601200- 结果：0.993865(T).jpg-1.0.jpg
1625747601257- 结果：0.990088(T).jpg-1.0.jpg
1625747601309- 结果：0.995065(T).jpg-1.0.jpg
1625747601360- 结果：0.996612(T).jpg-1.0.jpg
1625747608877- 结果：0.293318(D).jpg-0.02.jpg
1625747608929- 结果：0.032672(T).jpg-0.04.jpg
1625747608980- 结果：0.036453(T).jpg-0.03.jpg
1625747609031- 结果：0.032279(T).jpg-0.03.jpg
1625747609080- 结果：0.045817(T).jpg-0.05.jpg
1625747617413- 结果：0.306022(D).jpg-0.84.jpg
1625747617514- 结果：0.228547(T).jpg-0.79.jpg
1625747617565- 结果：0.432966(T).jpg-0.82.jpg
1625747617622- 结果：0.396355(T).jpg-0.82.jpg
1625747627083- 结果：0.202337(D).jpg-0.67.jpg
1625747627144- 结果：0.381577(T).jpg-0.41.jpg
1625747627195- 结果：0.427551(T).jpg-0.41.jpg
1625747627248- 结果：0.427551(T).jpg-0.38.jpg
1625747627306- 结果：0.340368(T).jpg-0.3.jpg
1625747634667- 结果：0.801753(D).jpg-0.56.jpg
1625747634718- 结果：0.702903(T).jpg-0.4.jpg
1625747634766- 结果：0.578735(T).jpg-0.22.jpg
1625747634812- 结果：0.509963(T).jpg-0.22.jpg
1625747634861- 结果：0.472206(T).jpg-0.23.jpg
1625747557527- 结果：0.016759(T).jpg-0.02.jpg
1625747592220- 结果：0.010275(T).jpg-0.01.jpg
1625747617465- 结果：0.358839(T).jpg-0.67.jpg
1625747644263- 结果：0.626093(D).jpg-0.21.jpg
1625747660672- 结果：0.262949(T).jpg-0.22.jpg
1625747687351- 结果：0.987413(T).jpg-0.98.jpg
1625747715872- 结果：0.900324(T).jpg-0.5.jpg
1625747756899- 结果：0.072237(D).jpg-0.08.jpg
1625747774161- 结果：0.909075(T).jpg-0.57.jpg
1625747810067- 结果：0.983229(T).jpg-0.87.jpg
1625747860139- 结果：0.266186(T).jpg-0.36.jpg
1625747887704- 结果：0.680707(T).jpg-0.8.jpg
1625747644315- 结果：0.492552(T).jpg-0.29.jpg
1625747644365- 结果：0.492552(T).jpg-0.32.jpg
1625747644415- 结果：0.43497(T).jpg-0.32.jpg
1625747644465- 结果：0.436822(T).jpg-0.28.jpg
1625747652496- 结果：0.221103(D).jpg-0.07.jpg
1625747652554- 结果：0.188817(T).jpg-0.06.jpg
1625747652608- 结果：0.127878(T).jpg-0.06.jpg
1625747652662- 结果：0.17059(T).jpg-0.05.jpg
1625747652714- 结果：0.17059(T).jpg-0.07.jpg
1625747660464- 结果：0.003627(D).jpg-0.25.jpg
1625747660516- 结果：0.453663(T).jpg-0.26.jpg
1625747660567- 结果：0.453663(T).jpg-0.23.jpg
1625747660619- 结果：0.531013(T).jpg-0.22.jpg
1625747670467- 结果：0.001027(D).jpg-0.0.jpg
1625747670521- 结果：1.990000000E-4(T).jpg-0.0.jpg
1625747670570- 结果：1.990000000E-4(T).jpg-0.0.jpg
1625747670620- 结果：1.550000000E-4(T).jpg-0.0.jpg
1625747670670- 结果：8.40000000E-5(T).jpg-0.0.jpg
1625747677717- 结果：0.942662(D).jpg-0.97.jpg
1625747677769- 结果：0.920012(T).jpg-0.81.jpg
1625747677820- 结果：0.721783(T).jpg-0.7.jpg
1625747677872- 结果：0.604783(T).jpg-0.7.jpg
1625747677922- 结果：0.549445(T).jpg-0.58.jpg
1625747687190- 结果：0.95527(D).jpg-1.0.jpg
1625747687244- 结果：0.989089(T).jpg-1.0.jpg
1625747687296- 结果：0.988651(T).jpg-1.0.jpg
1625747687409- 结果：0.930605(T).jpg-0.99.jpg
1625747694976- 结果：0.937387(D).jpg-0.97.jpg
1625747695027- 结果：0.967881(T).jpg-0.94.jpg
1625747695077- 结果：0.961617(T).jpg-0.92.jpg
1625747695128- 结果：0.950243(T).jpg-0.92.jpg
1625747695177- 结果：0.955469(T).jpg-0.93.jpg
1625747703843- 结果：0.249566(D).jpg-0.0.jpg
1625747703898- 结果：0.001911(T).jpg-0.0.jpg
1625747703950- 结果：5.10000000E-4(T).jpg-0.0.jpg
1625747704001- 结果：1.710000000E-4(T).jpg-0.0.jpg
1625747704053- 结果：9.10000000E-5(T).jpg-0.0.jpg
1625747712223- 结果：0.981816(D).jpg-0.84.jpg
1625747712281- 结果：0.894898(T).jpg-0.86.jpg
1625747712331- 结果：0.937166(T).jpg-0.79.jpg
1625747712381- 结果：0.86807(T).jpg-0.79.jpg
1625747712431- 结果：0.830576(T).jpg-0.72.jpg
1625747714710- 结果：0.738095(D).jpg-0.44.jpg
1625747714768- 结果：0.610832(T).jpg-0.78.jpg
1625747714820- 结果：0.806363(T).jpg-0.59.jpg
1625747714879- 结果：0.777353(T).jpg-0.47.jpg
1625747714933- 结果：0.805256(T).jpg-0.47.jpg
1625747715814- 结果：0.924292(D).jpg-0.57.jpg
1625747715926- 结果：0.85489(T).jpg-0.5.jpg
1625747715980- 结果：0.905297(T).jpg-0.61.jpg
1625747716034- 结果：0.905297(T).jpg-0.62.jpg
1625747721520- 结果：0.358664(D).jpg-0.15.jpg
1625747721577- 结果：0.161489(T).jpg-0.04.jpg
1625747721631- 结果：0.078983(T).jpg-0.03.jpg
1625747721684- 结果：0.078983(T).jpg-0.03.jpg
1625747721737- 结果：0.131665(T).jpg-0.01.jpg
1625747730075- 结果：0.934691(D).jpg-0.33.jpg
1625747730127- 结果：0.473843(T).jpg-0.28.jpg
1625747730174- 结果：0.337341(T).jpg-0.28.jpg
